AWB,HAWB,Flight_Number,ULD_Number,Origin,Destination,Booking_Date,SHC,Weight_kg,Length_cm,Width_cm,Height_cm,Preferred_ULD,Nature_Of_Goods,PCS,Temp_Required,Priority,Courier_Return,Completed,Consignee_Name
176-81780879,HWB303602,SV590,,DOH,FRA,2026-04-27,GEN,188.52,182,79,169,"AKE,PMC",Retail Goods,4,No,Medium,False,False,GLOBAL FOODS
176-35520653,HWB751244,SV752,,LHR,SYD,2026-04-06,DGR,399.14,176,135,97,PMC,Chemicals,96,No,High,False,False,SEAFOOD EXPRESS
176-14882771,HWB574909,SV292,,MAA,CDG,2026-04-02,PER,357.01,166,180,60,"RAP,PMC",Frozen Meat,3,Yes,Low,False,False,SEAFOOD EXPRESS
176-72207404,HWB189365,SV237,,DOH,DXB,2026-04-28,EAT,602.51,180,177,214,"PMC,RAP",Dry Foods,67,No,Low,True,True,WORLD FREIGHT
176-55728427,HWB225570,SV739,,DOH,DXB,2026-04-25,DGR,299.11,230,95,136,PMC,Lithium Batteries,32,No,Medium,False,False,QATAR PHARMA
176-28377021,HWB829711,SV364,,DOH,JFK,2026-05-01,GEN,102.17,123,60,501,"AKE,PMC",General Cargo,36,No,Medium,False,True,LUXURY EXPORTS
176-13051069,HWB127417,SV391,,SIN,SIN,2026-04-14,GEN,523.37,194,154,256,"AKE,PMC",Textiles,12,No,High,True,False,GLOBAL FOODS
176-26606352,HWB291489,SV690,,DXB,CDG,2026-04-11,GEN,975.91,195,132,307,"AKE,PMC",General Cargo,30,No,High,False,False,GLOBAL FOODS
176-83291553,HWB411643,SV665,,AMS,LHR,2026-04-23,MAG,187.23,79,68,361,PMC,Magnetized Equipment,52,No,High,False,False,GLOBAL FOODS
176-19227140,HWB198896,SV702,,MAA,DXB,2026-04-05,BIG,1999.7,75,180,1742,PMC,Industrial Equipment,6,No,Medium,False,False,GLOBAL FOODS
176-43229057,HWB185992,SV442,,DXB,SIN,2026-04-29,GEN,200.87,189,91,550,"AKE,PMC",Textiles,73,No,Low,True,True,WORLD FREIGHT
176-78408689,HWB350176,SV517,,MAA,FRA,2026-04-24,GEN,742.31,206,177,58,"AKE,PMC",Textiles,35,No,Low,True,False,FAST CARGO
176-35833126,HWB965101,SV640,,SIN,LHR,2026-04-13,GEN,458.24,98,82,811,"AKE,PMC",General Cargo,52,No,Low,False,False,EMIRATES MEDICAL
176-66401535,HWB367386,SV763,,FRA,JFK,2026-04-23,GEN,635.57,143,173,364,"AKE,PMC",General Cargo,15,No,Medium,True,False,SKY LOGISTICS
176-43390704,HWB238882,SV828,,MAA,SIN,2026-04-04,AVI,53.18,173,69,351,AKE,Dogs,96,No,High,True,False,SKY LOGISTICS
176-97490228,HWB320415,SV834,,MAA,SYD,2026-04-01,GEN,312.72,234,92,93,"AKE,PMC",Textiles,2,No,Medium,True,False,FAST CARGO
176-26541550,HWB486669,SV432,,LHR,JFK,2026-04-26,PIL,86.1,243,165,57,"RAP,RKN,ALF",Pharma,67,Yes,Low,False,False,FAST CARGO
176-99369812,HWB999797,SV778,,DXB,JFK,2026-04-07,BIG,1156.62,83,170,1043,PMC,Industrial Equipment,36,No,Medium,True,False,QATAR PHARMA
176-17998345,HWB884674,SV569,,FRA,LHR,2026-04-29,PIL,165.9,174,54,69,"RAP,RKN,ALF",Medicines,53,Yes,High,False,True,EMIRATES MEDICAL
176-81080683,HWB168466,SV700,,LHR,LHR,2026-04-16,PER,170.82,176,73,317,"RAP,PMC",Frozen Meat,83,Yes,High,False,True,EMIRATES MEDICAL
176-39603821,HWB559411,SV236,,MAA,SYD,2026-04-16,DGR,483.58,191,146,61,PMC,Chemicals,83,No,Medium,False,True,SKY LOGISTICS
176-23265355,HWB385015,SV982,,AMS,CDG,2026-04-09,GEN,304.29,176,54,456,"AKE,PMC",Retail Goods,96,No,Medium,True,True,GLOBAL FOODS
176-99717427,HWB682964,SV976,,FRA,CDG,2026-04-08,GEN,903.84,203,158,101,"AKE,PMC",Textiles,24,No,Low,False,True,SKY LOGISTICS
176-66334691,HWB695539,SV449,,MAA,JFK,2026-04-18,GEN,361.01,232,118,263,"AKE,PMC",General Cargo,24,No,High,False,False,EMIRATES MEDICAL
176-63949308,HWB802374,SV962,,FRA,CDG,2026-04-21,COL,341.38,245,45,250,"RAP,RKN",Temperature Goods,13,Yes,Medium,False,True,FAST CARGO
176-42368904,HWB658352,SV441,,LHR,SIN,2026-04-16,PER,118.32,161,105,138,"RAP,PMC",Frozen Meat,72,Yes,High,True,True,SKY LOGISTICS
176-65346005,HWB660967,SV856,,MAA,DXB,2026-04-15,GEN,440.2,60,95,243,"AKE,PMC",Textiles,71,No,Medium,True,True,FAST CARGO
176-88852864,HWB529012,SV223,,SIN,FRA,2026-04-01,GEN,402.33,208,58,110,"AKE,PMC",Textiles,58,No,High,True,False,FAST CARGO
176-90305616,HWB662971,SV864,,AMS,SYD,2026-04-26,BIG,1034.51,71,148,2392,PMC,Oversized Machinery,6,No,Medium,False,True,QATAR PHARMA
176-54391723,HWB204955,SV190,,FRA,CDG,2026-04-14,DGR,417.68,148,56,177,PMC,Chemicals,74,No,Medium,True,False,LUXURY EXPORTS
176-13610372,HWB874793,SV199,,AMS,CDG,2026-04-06,PER,401.33,198,55,296,"RAP,PMC",Food Items,86,Yes,Medium,True,True,SKY LOGISTICS
176-38061024,HWB307245,SV235,,SIN,JFK,2026-04-07,GEN,750.6,77,160,616,"AKE,PMC",General Cargo,85,No,Medium,True,True,QATAR PHARMA
176-94172039,HWB893341,SV879,,SIN,SYD,2026-04-12,GEN,739.46,68,113,978,"AKE,PMC",Textiles,56,No,High,True,True,WORLD FREIGHT
176-33500952,HWB817686,SV963,,LHR,DXB,2026-04-18,PER,103.05,164,86,177,"RAP,PMC",Food Items,98,Yes,High,True,True,SKY LOGISTICS
176-32305534,HWB379068,SV830,,FRA,FRA,2026-04-27,PIL,77.11,94,147,77,"RAP,RKN,ALF",Pharma,87,Yes,Low,False,False,SKY LOGISTICS
176-70271621,HWB545525,SV276,,FRA,SYD,2026-05-01,AVI,115.91,155,137,180,AKE,Birds,36,No,Medium,False,True,QATAR PHARMA
176-72393578,HWB195446,SV995,,FRA,DXB,2026-04-18,GEN,435.53,174,136,185,"AKE,PMC",Textiles,17,No,High,True,True,WORLD FREIGHT
176-28148672,HWB155398,SV630,,DXB,CDG,2026-04-24,PIL,277.33,156,60,208,"RAP,RKN,ALF",Medicines,17,Yes,High,True,True,FAST CARGO
176-22554260,HWB372271,SV367,,SIN,CDG,2026-04-18,VAL,28.06,234,178,20,AKE,Gold,23,No,High,False,False,FAST CARGO
176-21996795,HWB643115,SV251,,FRA,JFK,2026-04-21,GEN,812.73,94,129,245,"AKE,PMC",General Cargo,55,No,Low,True,False,WORLD FREIGHT
176-14021179,HWB134714,SV883,,MAA,SYD,2026-04-11,GEN,697.27,90,85,1298,"AKE,PMC",General Cargo,100,No,Low,True,True,GLOBAL FOODS
176-88630186,HWB185000,SV184,,AMS,SIN,2026-04-21,PER,165.97,197,140,143,"RAP,PMC",Frozen Meat,13,Yes,Medium,False,True,QATAR PHARMA
176-25456185,HWB933292,SV616,,AMS,LHR,2026-04-13,MAG,87.44,195,72,98,PMC,Magnetized Equipment,34,No,High,True,True,WORLD FREIGHT
176-30210136,HWB284260,SV944,,DOH,LHR,2026-04-03,PER,296.46,246,97,194,"RAP,PMC",Milk Products,80,Yes,High,False,False,WORLD FREIGHT
176-90424826,HWB151226,SV102,,AMS,LHR,2026-04-02,GEN,531.79,60,45,1929,"AKE,PMC",General Cargo,49,No,Medium,False,True,LUXURY EXPORTS
176-60696877,HWB690349,SV225,,DXB,JFK,2026-04-13,MAG,178.97,136,158,85,PMC,Magnetized Equipment,35,No,Low,True,False,LUXURY EXPORTS
176-87420166,HWB493557,SV847,,MAA,CDG,2026-04-06,BIG,720.49,232,179,307,PMC,Oversized Machinery,81,No,Medium,True,False,FAST CARGO
176-71743329,HWB748115,SV463,,DOH,DXB,2026-04-18,GEN,439.67,168,176,294,"AKE,PMC",Textiles,100,No,Low,True,True,GLOBAL FOODS
176-62569938,HWB365095,SV954,,FRA,DXB,2026-04-04,GEN,304.42,157,98,92,"AKE,PMC",Textiles,68,No,Low,True,False,EMIRATES MEDICAL
176-43422272,HWB640712,SV298,,LHR,FRA,2026-04-16,BIG,1298.5,123,157,1486,PMC,Oversized Machinery,68,No,Low,True,False,EMIRATES MEDICAL
176-63698183,HWB749146,SV794,,SIN,FRA,2026-04-23,GEN,197.12,148,79,135,"AKE,PMC",General Cargo,67,No,Low,False,False,EMIRATES MEDICAL
176-27516806,HWB486144,SV839,,AMS,SYD,2026-04-25,GEN,69.67,130,88,779,"AKE,PMC",Textiles,56,No,High,True,False,EMIRATES MEDICAL
176-49141287,HWB762314,SV499,,DXB,LHR,2026-04-13,GEN,488.87,245,68,82,"AKE,PMC",Retail Goods,97,No,Medium,True,True,SEAFOOD EXPRESS
176-35092717,HWB408106,SV296,,DOH,FRA,2026-04-18,GEN,735.07,68,147,432,"AKE,PMC",General Cargo,86,No,High,False,False,EMIRATES MEDICAL
176-87270408,HWB954297,SV643,,FRA,DXB,2026-04-17,PIL,248.02,217,44,278,"RAP,RKN,ALF",Medicines,94,Yes,High,False,True,SKY LOGISTICS
176-91885596,HWB972156,SV813,,MAA,FRA,2026-04-15,PER,232.62,121,92,439,"RAP,PMC",Milk Products,44,Yes,High,False,True,EMIRATES MEDICAL
176-57655811,HWB303768,SV948,,FRA,LHR,2026-04-25,GEN,244.41,77,65,589,"AKE,PMC",Textiles,41,No,Low,True,False,FAST CARGO
176-90511200,HWB576833,SV638,,LHR,FRA,2026-04-23,GEN,815.65,212,48,177,"AKE,PMC",General Cargo,70,No,High,True,True,GLOBAL FOODS
176-64357442,HWB775312,SV430,,DXB,DXB,2026-04-05,BIG,3554.52,174,52,1913,PMC,Industrial Equipment,5,No,Low,True,True,WORLD FREIGHT
176-71970086,HWB625004,SV978,,LHR,SYD,2026-04-04,EAT,677.02,122,51,1117,"PMC,RAP",Dry Foods,93,No,Low,True,True,SKY LOGISTICS
176-88663706,HWB211931,SV442,,DOH,JFK,2026-04-01,GEN,829.33,162,152,405,"AKE,PMC",General Cargo,71,No,High,True,True,SEAFOOD EXPRESS
176-48070748,HWB963020,SV710,,MAA,FRA,2026-04-09,PER,288.91,119,178,179,"RAP,PMC",Frozen Meat,1,Yes,Low,True,False,LUXURY EXPORTS
176-20234362,HWB426346,SV718,,MAA,SYD,2026-04-02,BIG,4064.37,115,54,1344,PMC,Oversized Machinery,68,No,Low,False,True,EMIRATES MEDICAL
176-13540146,HWB715049,SV242,,DOH,JFK,2026-04-11,GEN,269.78,95,168,361,"AKE,PMC",General Cargo,22,No,Low,True,True,SKY LOGISTICS
176-66139112,HWB180472,SV194,,SIN,DXB,2026-04-11,GEN,278.14,134,99,262,"AKE,PMC",Textiles,96,No,Low,False,True,SEAFOOD EXPRESS
176-55297384,HWB349192,SV604,,LHR,JFK,2026-04-01,EAT,125.71,247,121,107,"PMC,RAP",Snacks,96,No,High,True,True,SKY LOGISTICS
176-35895776,HWB158077,SV632,,DXB,LHR,2026-04-02,PIL,245.08,207,122,21,"RAP,RKN,ALF",Vaccines,51,Yes,Low,True,True,SEAFOOD EXPRESS
176-38568706,HWB204800,SV279,,DOH,SIN,2026-05-01,GEN,700.66,120,117,117,"AKE,PMC",Retail Goods,44,No,Medium,True,False,SKY LOGISTICS
176-75131857,HWB545092,SV881,,FRA,FRA,2026-04-28,PIL,193.01,96,173,102,"RAP,RKN,ALF",Medicines,80,Yes,High,False,False,QATAR PHARMA
176-80841442,HWB569164,SV898,,DXB,LHR,2026-04-01,GEN,280.0,116,145,539,"AKE,PMC",Retail Goods,31,No,Medium,True,False,QATAR PHARMA
176-26661403,HWB155994,SV204,,AMS,LHR,2026-04-24,GEN,272.06,136,110,292,"AKE,PMC",Retail Goods,89,No,Low,True,True,LUXURY EXPORTS
176-48354650,HWB701974,SV286,,MAA,FRA,2026-04-10,VAL,29.46,75,84,20,AKE,Jewelry,33,No,Low,True,False,SEAFOOD EXPRESS
176-98150338,HWB410810,SV950,,FRA,FRA,2026-04-28,HEA,193.67,220,149,110,"PMC,PAG",Coffins,12,No,Low,False,True,LUXURY EXPORTS
176-29720859,HWB446401,SV678,,MAA,LHR,2026-04-08,AVI,89.14,202,166,171,AKE,Dogs,99,No,Low,False,True,SKY LOGISTICS
176-39934299,HWB408733,SV899,,DXB,SYD,2026-04-26,GEN,152.94,72,128,927,"AKE,PMC",Retail Goods,52,No,Low,True,False,QATAR PHARMA
176-71361861,HWB900893,SV527,,MAA,FRA,2026-04-04,VAL,24.18,224,137,20,AKE,Jewelry,23,No,Low,True,False,FAST CARGO
176-90852772,HWB479376,SV765,,DXB,CDG,2026-04-22,DGR,323.03,194,121,83,PMC,Chemicals,85,No,Low,True,False,QATAR PHARMA
176-29120157,HWB828910,SV679,,FRA,JFK,2026-04-04,PER,484.01,238,146,130,"RAP,PMC",Frozen Meat,4,Yes,Low,True,False,LUXURY EXPORTS
176-22549007,HWB921665,SV663,,LHR,CDG,2026-04-09,VAL,34.15,164,78,21,AKE,Jewelry,45,No,Medium,True,True,QATAR PHARMA
176-29557879,HWB903724,SV294,,DOH,CDG,2026-04-22,VAL,24.61,136,136,20,AKE,Jewelry,74,No,Medium,True,False,FAST CARGO
176-88867841,HWB934963,SV891,,SIN,SYD,2026-04-08,HEA,140.06,107,177,162,"PMC,PAG",Coffins,81,No,High,True,True,WORLD FREIGHT
176-78974303,HWB555342,SV714,,LHR,JFK,2026-04-28,EAT,234.24,181,101,56,"PMC,RAP",Packed Food,8,No,High,False,True,GLOBAL FOODS
176-13420583,HWB150243,SV167,,LHR,CDG,2026-04-11,GEN,684.9,117,116,613,"AKE,PMC",General Cargo,79,No,Low,False,True,EMIRATES MEDICAL
176-17291181,HWB575148,SV517,,DOH,SIN,2026-04-11,BIG,3229.4,241,76,1444,PMC,Oversized Machinery,75,No,Medium,False,True,QATAR PHARMA
176-12257260,HWB619326,SV551,,LHR,CDG,2026-04-09,EAT,321.02,178,54,502,"PMC,RAP",Snacks,51,No,High,True,False,SKY LOGISTICS
176-27452167,HWB725278,SV240,,SIN,DXB,2026-04-22,MAG,150.8,203,145,90,PMC,Magnetized Equipment,96,No,Medium,False,False,QATAR PHARMA
176-45372528,HWB123839,SV506,,FRA,FRA,2026-04-03,GEN,587.15,166,175,323,"AKE,PMC",Textiles,34,No,High,True,True,FAST CARGO
176-52171230,HWB475263,SV832,,DXB,SIN,2026-05-01,PIL,108.03,94,139,217,"RAP,RKN,ALF",Vaccines,52,Yes,High,False,True,WORLD FREIGHT
176-32048331,HWB810968,SV204,,MAA,CDG,2026-04-30,GEN,244.67,122,105,777,"AKE,PMC",General Cargo,1,No,Medium,True,True,SEAFOOD EXPRESS
176-27764558,HWB590448,SV607,,FRA,CDG,2026-04-11,GEN,833.91,112,124,707,"AKE,PMC",Retail Goods,49,No,High,True,True,WORLD FREIGHT
176-45513832,HWB721338,SV150,,AMS,SIN,2026-04-10,GEN,896.83,225,60,437,"AKE,PMC",Textiles,42,No,High,True,False,EMIRATES MEDICAL
176-46962459,HWB398593,SV154,,DXB,JFK,2026-04-14,DGR,69.35,175,134,178,PMC,Chemicals,88,No,Medium,True,False,WORLD FREIGHT
176-77063002,HWB799689,SV625,,DXB,SIN,2026-04-15,VAL,6.31,83,177,20,AKE,Gold,2,No,High,True,False,SKY LOGISTICS
176-66353692,HWB279956,SV686,,FRA,LHR,2026-04-30,GEN,646.85,245,88,155,"AKE,PMC",Textiles,63,No,Low,False,True,SEAFOOD EXPRESS
176-25433087,HWB989272,SV627,,DXB,CDG,2026-04-29,GEN,881.0,73,108,742,"AKE,PMC",Textiles,41,No,Medium,True,False,FAST CARGO
176-76145997,HWB923769,SV819,,FRA,CDG,2026-04-01,AVI,155.05,156,50,743,AKE,Pets,82,No,Medium,False,True,WORLD FREIGHT
176-76634324,HWB347411,SV514,,FRA,SYD,2026-05-01,DGR,365.05,78,88,336,PMC,Chemicals,2,No,Medium,True,False,SKY LOGISTICS
176-94446429,HWB466271,SV435,,AMS,SIN,2026-04-08,GEN,675.97,210,95,127,"AKE,PMC",General Cargo,51,No,Low,False,True,LUXURY EXPORTS
176-45555431,HWB524604,SV683,,DXB,FRA,2026-04-22,VAL,49.45,182,93,27,AKE,Gold,67,No,Low,True,True,SKY LOGISTICS
176-89748303,HWB141350,SV670,,FRA,CDG,2026-04-25,PER,327.15,145,117,287,"RAP,PMC",Milk Products,35,Yes,High,False,False,QATAR PHARMA
176-54410181,HWB937167,SV134,,FRA,FRA,2026-04-28,GEN,170.53,63,94,1565,"AKE,PMC",Textiles,30,No,Low,False,False,EMIRATES MEDICAL
176-91836571,HWB637086,SV666,,AMS,DXB,2026-04-11,BIG,1084.95,108,70,3579,PMC,Oversized Machinery,37,No,Medium,False,False,QATAR PHARMA
176-34030650,HWB346709,SV657,,LHR,JFK,2026-04-30,COL,296.45,182,102,68,"RAP,RKN",Temperature Goods,62,Yes,High,True,True,WORLD FREIGHT
176-18520287,HWB854354,SV742,,AMS,JFK,2026-04-20,PER,252.18,238,92,59,"RAP,PMC",Frozen Meat,79,Yes,Low,False,False,SKY LOGISTICS
176-30658164,HWB977705,SV954,,DXB,LHR,2026-04-16,BIG,3085.67,161,101,978,PMC,Oversized Machinery,64,No,Low,True,False,QATAR PHARMA
176-41874244,HWB486589,SV153,,AMS,LHR,2026-04-26,PIL,210.89,201,122,90,"RAP,RKN,ALF",Medicines,85,Yes,Medium,False,False,LUXURY EXPORTS
176-26753792,HWB276076,SV386,,FRA,SIN,2026-04-22,COL,236.99,132,137,61,"RAP,RKN",Temperature Goods,48,Yes,Medium,False,True,SEAFOOD EXPRESS
176-92059030,HWB408453,SV290,,AMS,SIN,2026-04-12,PIL,198.4,179,176,31,"RAP,RKN,ALF",Pharma,18,Yes,Low,False,False,FAST CARGO
176-23838198,HWB456710,SV514,,DXB,LHR,2026-04-19,GEN,568.87,226,131,307,"AKE,PMC",General Cargo,88,No,Low,False,True,LUXURY EXPORTS
176-56083747,HWB507976,SV271,,FRA,SIN,2026-04-30,MAG,297.35,138,106,116,PMC,Magnetized Equipment,76,No,High,True,False,LUXURY EXPORTS
176-24255348,HWB687132,SV827,,LHR,LHR,2026-04-17,GEN,262.38,152,171,381,"AKE,PMC",Retail Goods,4,No,Low,False,False,SEAFOOD EXPRESS
176-75467163,HWB910552,SV796,,SIN,SYD,2026-04-25,VAL,16.89,187,159,20,AKE,Jewelry,29,No,High,True,False,GLOBAL FOODS
176-25193029,HWB604592,SV713,,LHR,SIN,2026-04-03,COL,368.16,85,160,255,"RAP,RKN",Cool Cargo,26,Yes,Low,False,True,EMIRATES MEDICAL
176-51282753,HWB192492,SV433,,SIN,JFK,2026-04-13,GEN,131.71,141,92,329,"AKE,PMC",General Cargo,42,No,Medium,True,True,FAST CARGO
176-66302151,HWB598970,SV845,,DOH,CDG,2026-04-07,EAT,204.11,154,120,255,"PMC,RAP",Packed Food,31,No,Medium,False,False,QATAR PHARMA
176-30090581,HWB830989,SV985,,AMS,SYD,2026-04-28,GEN,961.81,165,51,402,"AKE,PMC",General Cargo,37,No,High,True,False,SKY LOGISTICS
176-89421300,HWB649161,SV584,,FRA,DXB,2026-04-04,PIL,145.73,204,96,92,"RAP,RKN,ALF",Pharma,94,Yes,High,False,True,EMIRATES MEDICAL
176-84867294,HWB998056,SV885,,SIN,JFK,2026-04-17,PER,151.91,249,77,228,"RAP,PMC",Food Items,18,Yes,Medium,False,False,QATAR PHARMA
176-70368405,HWB665093,SV552,,SIN,LHR,2026-04-14,PER,445.61,64,106,490,"RAP,PMC",Food Items,18,Yes,Medium,False,False,EMIRATES MEDICAL
176-58816297,HWB935298,SV987,,SIN,SYD,2026-04-14,VAL,31.98,201,146,20,AKE,Luxury Watches,79,No,Medium,True,True,EMIRATES MEDICAL
176-67459585,HWB448436,SV126,,DXB,SYD,2026-04-26,BIG,4597.19,135,79,2736,PMC,Oversized Machinery,6,No,High,True,False,LUXURY EXPORTS
176-19764093,HWB347905,SV234,,AMS,SYD,2026-04-08,BIG,1533.08,110,124,1552,PMC,Oversized Machinery,42,No,Medium,True,True,QATAR PHARMA
176-95015904,HWB763753,SV535,,FRA,FRA,2026-04-07,PER,235.97,118,137,70,"RAP,PMC",Food Items,88,Yes,High,False,False,EMIRATES MEDICAL
176-93209926,HWB851553,SV602,,DXB,JFK,2026-04-19,DGR,286.16,205,102,106,PMC,Chemicals,55,No,Medium,False,False,SEAFOOD EXPRESS
176-79164276,HWB874633,SV820,,DXB,LHR,2026-04-28,GEN,759.56,187,180,64,"AKE,PMC",Retail Goods,27,No,High,True,True,GLOBAL FOODS
176-36867851,HWB736044,SV246,,DOH,FRA,2026-04-05,EAT,180.24,227,126,210,"PMC,RAP",Packed Food,81,No,Medium,True,True,SEAFOOD EXPRESS
176-65749749,HWB375136,SV601,,DXB,SIN,2026-04-08,EAT,104.87,125,165,74,"PMC,RAP",Dry Foods,71,No,Medium,False,True,SKY LOGISTICS
176-99275902,HWB578179,SV281,,DOH,SIN,2026-04-03,HEA,170.75,245,165,75,"PMC,PAG",Coffins,62,No,Medium,False,False,LUXURY EXPORTS
176-30770855,HWB698966,SV133,,SIN,SIN,2026-04-13,VAL,31.76,177,83,20,AKE,Luxury Watches,12,No,Low,False,False,FAST CARGO
176-34380986,HWB853180,SV550,,MAA,FRA,2026-04-28,EAT,161.35,247,130,41,"PMC,RAP",Snacks,23,No,High,False,True,FAST CARGO
176-85763872,HWB787232,SV696,,DXB,SYD,2026-04-30,PIL,246.8,103,75,300,"RAP,RKN,ALF",Medicines,42,Yes,High,True,True,FAST CARGO
176-67324398,HWB938234,SV434,,AMS,SYD,2026-04-04,EAT,347.16,244,179,46,"PMC,RAP",Dry Foods,10,No,Low,False,True,SKY LOGISTICS
176-42819076,HWB927695,SV691,,DOH,CDG,2026-04-12,GEN,901.87,185,87,244,"AKE,PMC",General Cargo,41,No,Low,False,False,SEAFOOD EXPRESS
176-76183001,HWB329497,SV265,,DOH,JFK,2026-04-24,GEN,514.65,198,55,624,"AKE,PMC",Retail Goods,32,No,High,False,False,EMIRATES MEDICAL
176-25633534,HWB289226,SV557,,FRA,SYD,2026-04-20,AVI,165.94,194,48,522,AKE,Pets,57,No,High,True,True,WORLD FREIGHT
176-89979778,HWB591269,SV877,,FRA,JFK,2026-04-22,GEN,203.99,79,52,968,"AKE,PMC",Textiles,15,No,High,False,False,SKY LOGISTICS
176-42618558,HWB237015,SV252,,MAA,SYD,2026-04-17,AVI,191.22,61,145,647,AKE,Pets,97,No,High,True,False,SEAFOOD EXPRESS
176-35292050,HWB281682,SV138,,MAA,LHR,2026-04-18,EAT,574.35,95,99,657,"PMC,RAP",Dry Foods,63,No,Low,False,False,LUXURY EXPORTS
176-59954883,HWB799764,SV626,,SIN,SIN,2026-04-23,COL,163.18,77,78,536,"RAP,RKN",Cool Cargo,82,Yes,Low,False,True,QATAR PHARMA
176-62056495,HWB776758,SV183,,DOH,CDG,2026-04-08,GEN,66.47,62,95,1663,"AKE,PMC",Textiles,42,No,High,False,True,LUXURY EXPORTS
176-22558651,HWB123950,SV897,,DXB,FRA,2026-04-19,GEN,956.39,189,156,300,"AKE,PMC",Textiles,22,No,Low,False,True,GLOBAL FOODS
176-78636393,HWB302219,SV158,,FRA,SYD,2026-04-28,PER,179.54,155,55,247,"RAP,PMC",Food Items,1,Yes,Low,False,False,GLOBAL FOODS
176-25457874,HWB252236,SV507,,MAA,FRA,2026-04-20,GEN,702.43,218,163,154,"AKE,PMC",General Cargo,94,No,High,True,True,SKY LOGISTICS
176-71786427,HWB530033,SV577,,DOH,FRA,2026-05-01,GEN,873.39,228,164,249,"AKE,PMC",General Cargo,7,No,High,True,True,GLOBAL FOODS
176-15617162,HWB226832,SV732,,AMS,DXB,2026-04-06,PER,261.08,64,41,579,"RAP,PMC",Frozen Meat,18,Yes,Low,False,False,FAST CARGO
176-14969146,HWB407874,SV685,,DXB,JFK,2026-04-07,GEN,929.21,196,145,271,"AKE,PMC",Retail Goods,44,No,High,True,True,WORLD FREIGHT
176-79926458,HWB208663,SV253,,DOH,SYD,2026-04-25,BIG,4445.93,63,44,9119,PMC,Industrial Equipment,23,No,High,True,False,QATAR PHARMA
176-55252261,HWB109166,SV690,,AMS,LHR,2026-04-05,VAL,34.47,195,110,20,AKE,Gold,20,No,Low,False,False,SKY LOGISTICS
176-59221290,HWB466975,SV838,,LHR,SYD,2026-04-23,GEN,847.99,197,113,283,"AKE,PMC",General Cargo,95,No,Low,True,True,LUXURY EXPORTS
176-12293584,HWB914075,SV199,,DXB,JFK,2026-04-27,GEN,790.26,64,168,581,"AKE,PMC",General Cargo,19,No,Medium,True,False,LUXURY EXPORTS
176-27493080,HWB322311,SV966,,MAA,LHR,2026-04-10,VAL,17.01,238,150,20,AKE,Gold,96,No,High,True,True,WORLD FREIGHT
176-74331966,HWB342018,SV670,,LHR,LHR,2026-04-06,GEN,451.34,105,67,605,"AKE,PMC",General Cargo,22,No,Low,True,False,GLOBAL FOODS
176-40628653,HWB236301,SV229,,DOH,LHR,2026-04-14,PIL,156.55,84,174,135,"RAP,RKN,ALF",Pharma,84,Yes,High,False,False,EMIRATES MEDICAL
176-11017031,HWB332612,SV818,,AMS,SYD,2026-04-21,GEN,836.38,98,101,723,"AKE,PMC",Retail Goods,5,No,High,True,True,QATAR PHARMA
176-76623939,HWB691845,SV886,,AMS,JFK,2026-05-01,BIG,2134.34,109,174,1456,PMC,Industrial Equipment,55,No,Medium,True,False,WORLD FREIGHT
176-48257905,HWB545823,SV963,,DXB,SIN,2026-04-12,AVI,141.87,124,130,371,AKE,Birds,62,No,High,True,False,WORLD FREIGHT
176-25906087,HWB935986,SV902,,FRA,DXB,2026-04-02,PIL,50.68,128,141,33,"RAP,RKN,ALF",Medicines,27,Yes,High,False,True,GLOBAL FOODS
176-75630349,HWB269737,SV533,,FRA,DXB,2026-04-03,PIL,149.66,80,135,223,"RAP,RKN,ALF",Pharma,2,Yes,Low,True,False,WORLD FREIGHT
176-24519890,HWB459366,SV821,,MAA,JFK,2026-04-24,GEN,190.73,163,157,49,"AKE,PMC",General Cargo,26,No,Low,True,False,WORLD FREIGHT
176-54578981,HWB183579,SV148,,DOH,SYD,2026-04-08,GEN,284.18,204,102,247,"AKE,PMC",Retail Goods,47,No,Low,False,False,EMIRATES MEDICAL
176-36380976,HWB125994,SV117,,FRA,JFK,2026-04-23,GEN,810.98,238,97,111,"AKE,PMC",General Cargo,45,No,Low,False,False,SEAFOOD EXPRESS
176-37455833,HWB226349,SV674,,MAA,LHR,2026-04-01,MAG,157.37,136,60,138,PMC,Magnetized Equipment,86,No,High,False,True,WORLD FREIGHT
176-29986839,HWB182767,SV461,,FRA,DXB,2026-04-14,GEN,846.41,227,48,826,"AKE,PMC",Textiles,31,No,High,False,True,QATAR PHARMA
176-23444210,HWB425689,SV438,,AMS,CDG,2026-04-14,GEN,980.83,83,143,390,"AKE,PMC",General Cargo,97,No,High,True,True,WORLD FREIGHT
176-43865364,HWB139165,SV120,,AMS,FRA,2026-04-30,AVI,107.42,157,136,156,AKE,Birds,75,No,High,True,False,QATAR PHARMA
176-52502178,HWB922563,SV276,,MAA,LHR,2026-04-03,PER,199.72,201,161,154,"RAP,PMC",Milk Products,78,Yes,Low,True,False,WORLD FREIGHT
176-95749236,HWB334546,SV763,,MAA,SIN,2026-04-16,PIL,245.83,74,42,585,"RAP,RKN,ALF",Vaccines,76,Yes,Medium,True,False,SEAFOOD EXPRESS
